location_id,location_name,parameter,value,unit,datetimeutc,datetimelocal,latitude,longitude
6112507,aq_g520,pm10,80.25371444235535,µg/m³,2025-11-25 02:00:00+00:00,2025-11-25 05:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,60.66019999999992,µg/m³,2025-11-25 02:00:00+00:00,2025-11-25 05:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,77.69458854104454,µg/m³,2025-11-25 05:00:00+00:00,2025-11-25 08:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,63.66420000000003,µg/m³,2025-11-25 05:00:00+00:00,2025-11-25 08:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,21.79527108494604,µg/m³,2025-11-25 07:00:00+00:00,2025-11-25 10:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,16.408499999999997,µg/m³,2025-11-25 07:00:00+00:00,2025-11-25 10:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,8.752364666964239,µg/m³,2025-11-25 08:00:00+00:00,2025-11-25 11:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,10.131500000000033,µg/m³,2025-11-25 08:00:00+00:00,2025-11-25 11:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,21.524552937356333,µg/m³,2025-11-25 10:00:00+00:00,2025-11-25 13:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,16.215799999999994,µg/m³,2025-11-25 10:00:00+00:00,2025-11-25 13:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,19.224865130843483,µg/m³,2025-11-25 11:00:00+00:00,2025-11-25 14:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,13.489400000000034,µg/m³,2025-11-25 11:00:00+00:00,2025-11-25 14:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,42.13690377091825,µg/m³,2025-11-25 16:00:00+00:00,2025-11-25 19:00:00+03:00,0.30991,32.60045
